pub_date	title	venue	excerpt	citation	url_slug	paper_url
2017-07-28	Copy Number Changes Identified Using Whole Exome Sequencing in Nonsyndromic Cleft Lip and Palate in a Honduran Population.	Birth Defects Res.	2017-07-28-Cai-Y	"Cai Y, Patterson KE, Reinier F, Keesecker SE, Blue E, Bamshad M, Haddad J Jr."	Copy-Number-Changes-Identified-Using-Whole-Exome-Sequencing-in-Nonsyndromic-Cleft-Lip-and-Palate-in-a-Honduran-Population.	http://fred3ric.github.io/files/2017-07-28-Cai-Y.pdf
2017-04-11	Population- and individual-specific regulatory variation in Sardinia.	Nat Genet.	2017-04-11-Pala-M	"Pala M, Zappala Z, Marongiu M, Li X, Davis JR, Cusano R, Crobu F, Kukurba KR, Gloudemans MJ, Reinier F, Berutti R, Piras MG, Mulas A, Zoledziewska M, Marongiu M, Sorokin EP, Hess GT, Smith KS, Busonero F, Maschio A, Steri M, Sidore C, et al."	Population--and-individual-specific-regulatory-variation-in-Sardinia.	http://fred3ric.github.io/files/2017-04-11-Pala-M.pdf
2017-03-08	"Molecular outcomes, clinical consequences, and genetic diagnosis of Oculocutaneous Albinism in Pakistani population."""	Sci Rep.	2017-03-08-Shahza-M	"Shahzad M, Yousaf S, Waryah YM, Gul H, Kausar T, Tariq N, Mahmood U, Ali M, Khan MA, Waryah AM, Shaikh RS, Riazuddin S, Ahmed ZM; University of Washington Center for Mendelian Genomics (UW CMG) Consortium.."	"Molecular-outcomes,-clinical-consequences,-and-genetic-diagnosis-of-Oculocutaneous-Albinism-in-Pakistani-population."""	
2015-09-15	Genome sequencing elucidates Sardinian genetic architecture and augments association analyses for lipid and blood inflammatory markers.	Nat Genet.	2015-09-15-Sidore-C	"Sidore C, Busonero F, Maschio A, Porcu E, Naitza S, Zoledziewska M, Mulas A, Pistis G, Steri M, Danjou F, Kwong A, Ortega Del Vecchyo VD, Chiang CWK, Bragg-Gresham J, Pitzalis M, Nagaraja R, Tarrier B, Brennan C, Uzzau S, Fuchsberger C, Atzeni R, Reinier F, et al.	2015-09-15-Sidore-C"" http://fred3ric.github.io/files/2015-09-15-Sidore-C.pdf"	Genome-sequencing-elucidates-Sardinian-genetic-architecture-and-augments-association-analyses-for-lipid-and-blood-inflammatory-markers.	
2015-09-10	"Mandibular hypoplasia, deafness, progeroid features and lipodystrophy (MDPL) syndrome in the context of inherited lipodystrophies."	Metabolism.	2015-09-10-Reinier-F	"Reinier F, Zoledziewska M, Hanna D, Smith JD, Valentini M, Zara I, Berutti R, Sanna S, Oppo M, Cusano R, Satta R, Montesu MA, Jones C, Cerimele D, Nickerson DA, Angius A, Cucca F, Cottoni F, Crisponi L."	"Mandibular-hypoplasia,-deafness,-progeroid-features-and-lipodystrophy-(MDPL)-syndrome-in-the-context-of-inherited-lipodystrophies."	http://fred3ric.github.io/files/2015-09-10-Reinier-F.pdf
2015-07-15	"The Genetic Basis of Mendelian Phenotypes: Discoveries, Challenges, and Opportunities."	Am J Hum Genet.	2015-07-15-Chong-JX	"Chong JX, Buckingham KJ, Jhangiani SN, Boehm C, Sobreira N, Smith JD, Harrell TM, McMillin MJ, Wiszniewski W, Gambin T, Coban Akdemir ZH, Doheny K, Scott AF, Avramopoulos D, Chakravarti A, Hoover-Fong J, Mathews D, Witmer PD, Ling H, Hetrick K, Watkins L, Patterson KE, et al."	"The-Genetic-Basis-of-Mendelian-Phenotypes:-Discoveries,-Challenges,-and-Opportunities."	http://fred3ric.github.io/files/2015-07-15-Chong-JX.pdf
2015-05-11	Autosomal-Dominant Multiple Pterygium Syndrome Is Caused by Mutations in MYH3.	Am J Hum Genet. 	2015-05-11-Chong-JX-1	"Chong JX, Burrage LC, Beck AE, Marvin CT, McMillin MJ, Shively KM, Harrell TM, Buckingham KJ, Bacino CA, Jain M, Alanay Y, Berry SA, Carey JC, Gibbs RA, Lee BH, Krakow D, Shendure J, Nickerson DA; University of Washington Center for Mendelian Genomics., Bamshad MJ."	Autosomal-Dominant-Multiple-Pterygium-Syndrome-Is-Caused-by-Mutations-in-MYH3.	http://fred3ric.github.io/files/2015-05-11-Chong-JX-1.pdf
2015-02-17	"De novo mutations in NALCN cause a syndrome characterized by congenital contractures of the limbs and face, hypotonia, and developmental delay."""	Am J Hum Genet.	2015-02-17-Chong-JX-2	"Chong JX, McMillin MJ, Shively KM, Beck AE, Marvin CT, Armenteros JR, Buckingham KJ, Nkinsi NT, Boyle EA, Berry MN, Bocian M, Foulds N, Uzielli ML, Haldeman-Englert C, Hennekam RC, Kaplan P, Kline AD, Mercer CL, Nowaczyk MJ, Klein Wassink-Ruiter JS, McPherson EW, Moreno RA, et al. ""2015-02-17-Chong-JX-2"" http://fred3ric.github.io/files/2015-02-17-Chong-JX-2.pdf"	"De-novo-mutations-in-NALCN-cause-a-syndrome-characterized-by-congenital-contractures-of-the-limbs-and-face,-hypotonia,-and-developmental-delay."""	
2015-02-06	Integrating sequence and array data to create an improved 1000 Genomes Project haplotype reference panel.	Nat Commun.	2015-02-06-Delaneau-O	"Delaneau O, Marchini J; 1000 Genomes Project Consortium.; 1000 Genomes Project Consortium.."	Integrating-sequence-and-array-data-to-create-an-improved-1000-Genomes-Project-haplotype-reference-panel.	http://fred3ric.github.io/files/2015-02-06-Delaneau-O.pdf
2014-07-02	Human genomic regions with exceptionally high levels of population differentiation identified from 911 whole-genome sequences.	Genome Biol.	2014-07-02-Colonna-V	"Colonna V, Ayub Q, Chen Y, Pagani L, Luisi P, Pybus M, Garrison E, Xue Y, Tyler-Smith C; 1000 Genomes Project Consortium., Abecasis GR, Auton A, Brooks LD, DePristo MA, Durbin RM, Handsaker RE, Kang HM, Marth GT, McVean GA."	Human-genomic-regions-with-exceptionally-high-levels-of-population-differentiation-identified-from-911-whole-genome-sequences.	http://fred3ric.github.io/files/2014-07-02-Colonna-V.pdf
2013-10-05	Integrative annotation of variants from 1092 humans: application to cancer genomics.	Science.	2013-10-05-Khurana-E	"Khurana E, Fu Y, Colonna V, Mu XJ, Kang HM, Lappalainen T, Sboner A, Lochovsky L, Chen J, Harmanci A, Das J, Abyzov A, Balasubramanian S, Beal K, Chakravarty D, Challis D, Chen Y, Clarke D, Clarke L, Cunningham F, Evani US, Flicek P, et al."	Integrative-annotation-of-variants-from-1092-humans:-application-to-cancer-genomics.	http://fred3ric.github.io/files/2013-10-05-Khurana-E.pdf
2013-10-01	Genetic variants regulating immune cell levels in health and disease.	Cell.	2013-10-01-Orru	"Orr�_ V, Steri M, Sole G, Sidore C, Virdis F, Dei M, Lai S, Zoledziewska M, Busonero F, Mulas A, Floris M, Mentzen WI, Urru SA, Olla S, Marongiu M, Piras MG, Lobina M, Maschio A, Pitzalis M, Urru MF, Marcelli M, Cusano R, et al."	Genetic-variants-regulating-immune-cell-levels-in-health-and-disease.	http://fred3ric.github.io/files/2013-10-01-Orru.pdf
2013-08-03	Low-pass DNA sequencing of 1200 Sardinians reconstructs European Y-chromosome phylogeny.	Science.	2013-08-03-Francalacci-P	"Francalacci P, Morelli L, Angius A, Berutti R, Reinier F, Atzeni R, Pilu R, Busonero F, Maschio A, Zara I, Sanna D, Useli A, Urru MF, Marcelli M, Cusano R, Oppo M, Zoledziewska M, Pitzalis M, Deidda F, Porcu E, Poddie F, Kang HM, et al."	Low-pass-DNA-sequencing-of-1200-Sardinians-reconstructs-European-Y-chromosome-phylogeny.	http://fred3ric.github.io/files/2013-08-03-Francalacci-P.pdf
2012-11-07	" An integrated map of genetic variation from 1,092 human genomes."""	Nature.	2012-11-07-1000-Genomes-Project-Consortium	"1000 Genomes Project Consortium., Abecasis GR, Auton A, Brooks LD, DePristo MA, Durbin RM, Handsaker RE, Kang HM, Marth GT, McVean GA."	"An-integrated-map-of-genetic-variation-from-1,092-human-genomes."""	http://fred3ric.github.io/files/2012-11-07-1000-Genomes-Project-Consortium.pdf
2006-07-18	PROTOGENE: turning amino acid alignments into bona fide CDS nucleotide alignments.	Nucleic Acids Res.	2006-07-18-Moretti-S	"Moretti S, Reinier F, Poirot O, Armougom F, Audic S, Keduas V, Notredame C."	PROTOGENE:-turning-amino-acid-alignments-into-bona-fide-CDS-nucleotide-alignments.	http://fred3ric.github.io/files/2006-07-18-Moretti-S.pdf
